OTHER OFFENSE,THEFT,CRIMINAL DAMAGE,WEAPONS VIOLATION,BATTERY,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,NARCOTICS,GAMBLING,SEX OFFENSE,ASSAULT,PUBLIC PEACE VIOLATION,BURGLARY,MOTOR VEHICLE THEFT,DECEPTIVE PRACTICE,LIQUOR LAW VIOLATION,ROBBERY,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,HOMICIDE,KIDNAPPING,PROSTITUTION,STALKING,INTIMIDATION,CRIMINAL SEXUAL ASSAULT,ARSON,RITUALISM,DOMESTIC VIOLENCE,OBSCENITY,OTHER NARCOTIC VIOLATION,PUBLIC INDECENCY,CONCEALED CARRY LICENSE VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,NON-CRIMINAL (SUBJECT SPECIFIED),NON - CRIMINAL
69,250,169,9,261,4,3.0,114,5.0,2.0,82,4,63,60,26,5,67,28,3,4.0,1,13.0,1,0,0,1.0,0.0,,0.0,1.0,0.0,0.0,,,,
63,220,184,13,302,6,6.0,92,1.0,4.0,72,6,57,62,22,5,50,25,0,0.0,3,10.0,1,0,0,5.0,0.0,,0.0,0.0,0.0,0.0,,,,
82,265,150,18,249,6,7.0,121,2.0,5.0,89,7,71,85,39,2,49,28,2,2.0,1,16.0,0,1,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
98,288,135,12,301,8,4.0,140,7.0,11.0,107,6,67,55,55,8,58,33,0,0.0,3,17.0,0,2,0,5.0,0.0,,0.0,0.0,0.0,0.0,,,,
91,249,122,16,312,6,6.0,144,3.0,6.0,115,6,70,64,45,8,57,32,0,0.0,1,26.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,
91,257,135,15,304,4,3.0,136,2.0,11.0,109,10,77,73,60,7,41,37,1,2.0,3,26.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,
92,311,171,9,281,6,5.0,140,6.0,4.0,93,12,58,82,41,9,58,39,3,3.0,4,9.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,
83,260,171,7,305,8,6.0,112,3.0,6.0,73,5,59,82,33,11,44,34,2,0.0,4,23.0,0,0,0,4.0,0.0,,0.0,0.0,0.0,0.0,,,,
79,246,162,13,326,3,2.0,89,1.0,11.0,90,5,50,87,14,8,55,21,2,0.0,1,8.0,0,0,2,7.0,0.0,,0.0,0.0,0.0,0.0,,,,
74,312,146,14,325,4,4.0,122,0.0,4.0,107,8,82,78,36,5,65,36,3,1.0,3,4.0,0,2,0,1.0,1.0,,0.0,0.0,0.0,0.0,,,,
91,266,138,16,218,6,3.0,138,1.0,6.0,86,10,62,74,39,5,54,43,1,0.0,0,14.0,0,1,0,5.0,0.0,,0.0,0.0,0.0,0.0,,,,
68,278,133,7,247,4,3.0,119,3.0,9.0,80,11,76,63,36,5,42,32,1,0.0,2,12.0,0,0,0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,
73,283,141,10,240,3,6.0,142,1.0,3.0,108,9,72,74,53,7,34,39,1,0.0,1,9.0,0,1,0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,
76,260,154,16,234,6,2.0,136,3.0,3.0,96,9,82,78,54,14,43,43,2,0.0,2,34.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
68,257,133,6,255,9,4.0,89,0.0,4.0,64,3,55,74,36,2,49,30,0,0.0,1,19.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
65,228,157,8,243,11,6.0,115,5.0,3.0,60,6,59,80,18,5,36,33,1,1.0,1,7.0,1,0,0,2.0,0.0,,0.0,1.0,0.0,0.0,,,,
75,241,175,16,353,7,3.0,120,2.0,0.0,76,10,58,69,18,3,41,44,1,0.0,2,8.0,0,0,0,3.0,0.0,,0.0,0.0,0.0,0.0,,,,
94,276,158,12,282,10,5.0,154,4.0,5.0,93,7,68,69,51,4,52,36,1,1.0,2,20.0,1,1,0,4.0,0.0,,0.0,0.0,0.0,0.0,,,,
